"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"F","normal",3,0,60,"none/unknown","2018-02-03 07:12:55.721",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 07:42:56.046",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 07:42:56.185",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 08:12:55.61",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 08:12:55.75",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-03 08:42:55.216",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 08:42:55.358",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-03 09:12:54.547",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 09:12:54.687",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-03 09:42:56.496",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 09:42:56.633",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 10:13:05.318",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 10:13:05.461",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 10:42:55.541",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 10:42:55.683",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 11:12:55.049",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 11:12:55.199",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-03 11:42:55.083",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 11:42:55.222",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 12:13:06.367",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 12:13:06.516",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-03 12:42:56.13",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-03 12:42:56.305",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 13:12:55.343",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 13:12:55.511",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 13:42:55.711",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 13:42:55.852",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 14:13:09.542",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 14:13:09.681",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 14:42:55.563",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 14:42:55.704",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 15:12:55.401",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-03 15:12:55.539",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 15:42:53.473",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 15:42:53.611",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-03 16:13:09.861",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 16:13:10.049",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-03 16:42:55.689",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 16:42:55.827",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 17:12:56.189",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-03 17:12:56.328",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 17:42:54.452",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-03 17:42:54.589",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-03 18:13:08.003",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 18:13:08.161",50.9239,1.81604,"stable"
